Transaction Date,Post Date,Description,Category,Type,Amount
11/6/2021,11/7/2021,EXPRESS#1748,Shopping,Sale,-247.51
11/6/2021,11/7/2021,CVS/PHARMACY #11400,Health & Wellness,Sale,-40.02
11/6/2021,11/7/2021,TRADER JOE'S #560 QPS,Groceries,Sale,-12.6
11/6/2021,11/7/2021,TJMAXX #713,Shopping,Sale,-43.53
11/4/2021,11/5/2021,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,100.98
11/4/2021,11/5/2021,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,45.53
11/4/2021,11/5/2021,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,94.69
11/4/2021,11/5/2021,SL.NORD* VPNCOM,Shopping,Sale,-83.94
11/4/2021,11/5/2021,Payment Thank You-Mobile,,Payment,435.41
11/3/2021,11/4/2021,MANSCAPED,Shopping,Sale,-104.09
11/2/2021,11/4/2021,WENDY'S #933,Food & Drink,Sale,-9.5
10/31/2021,11/2/2021,ABINGTON ALE HOUSE,Food & Drink,Sale,-100
10/31/2021,11/2/2021,EXXONMOBIL    97504724,Gas,Sale,-46.87
10/31/2021,11/2/2021,EXXONMOBIL    97504724,Gas,Sale,-1.99
11/1/2021,11/2/2021,DUNKIN #340032 Q35,Food & Drink,Sale,-3.83
11/1/2021,11/2/2021,TRADER JOE'S #506  QPS,Groceries,Sale,-39.55
11/1/2021,11/2/2021,COSTCO WHSE #0301,Shopping,Sale,-333.64
10/31/2021,11/1/2021,MAMIE CLAFOUTIS 2010,Food & Drink,Sale,-23.46
10/30/2021,10/31/2021,CAFE OLIMPICO,Food & Drink,Sale,-12.62
10/30/2021,10/31/2021,COOP EMPREINTE,Shopping,Sale,-245.32
10/29/2021,10/31/2021,STM PREFONTAINE DIN101,Travel,Sale,-2.84
10/30/2021,10/31/2021,NOEL ETERNEL INC,Shopping,Sale,-12.12
10/30/2021,10/31/2021,CAFE OLIMPICO,Food & Drink,Sale,-9.82
10/28/2021,10/29/2021,STM PREFONTAINE DIN101,Travel,Sale,-33.33
10/28/2021,10/29/2021,PATISSERIE AU KOUIGN AMAN,Food & Drink,Sale,-11.78
10/26/2021,10/28/2021,RESTAURANT VIN PAPILLON I,Food & Drink,Sale,-519.57
10/26/2021,10/28/2021,LE TOIT ROUGE RESTO-BAR,Food & Drink,Sale,-33.39
10/24/2021,10/28/2021,SUSHI SUGOI,Food & Drink,Sale,-40.25
10/25/2021,10/27/2021,AGENCE DE MOBILIT  DURABL,Travel,Sale,-8.45
10/25/2021,10/27/2021,LE TOIT ROUGE RESTO-BAR,Food & Drink,Sale,-31.01
10/26/2021,10/27/2021,CHATIME CHINA TOWN,Food & Drink,Sale,-18.8
10/25/2021,10/27/2021,QUEUES DE CASTOR / BEAVER,Food & Drink,Sale,-12.59
10/26/2021,10/26/2021,TimeOut - MON-MARU,Food & Drink,Sale,-30
10/24/2021,10/25/2021,V DE MTL BIODOME BILLETS,Bills & Utilities,Sale,-96.6
10/23/2021,10/25/2021,AGENCE DE MOBILIT  DURABL,Travel,Sale,-4.06
10/23/2021,10/24/2021,RESTAURANT CHILLAX,Food & Drink,Sale,-23.13
10/22/2021,10/24/2021,COMMON MAN NO. IRVING,Gas,Sale,-9.02
10/22/2021,10/24/2021,WAL-MART #3114,Groceries,Sale,-52.59
10/23/2021,10/24/2021,STM BERRI UQAM DIN102,Travel,Sale,-11.77
10/22/2021,10/24/2021,WAL-MART #3114,Groceries,Sale,-12.52
10/22/2021,10/24/2021,MCDONALD'S F2392,Food & Drink,Sale,-10.7
10/23/2021,10/24/2021,STM BERRI UQAM DIN102,Travel,Sale,-11.77
10/23/2021,10/24/2021,RESTAURANT L'AVENUE,Food & Drink,Sale,-73.1
10/22/2021,10/24/2021,DOORDASH*FUKU,Food & Drink,Sale,-31
10/23/2021,10/24/2021,JUGO JUICE,Food & Drink,Sale,-10.5
10/23/2021,10/24/2021,AIRBNB  HMYMJPXEXW,Travel,Return,45.53
10/23/2021,10/24/2021,AIRBNB  HMYMJPXEXW,Travel,Sale,-45.53
